,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
216,House for Sale,"455,500","Oakbrook II,",Fenton,MO,63026,"2,231",3,2,https://www.realtor.com//realestateandhomes-detail/Oakbrook-II_Summit-Woods-Estates_671-Summit-Rd_Fenton_MO_63026_P415612046523
217,House for Sale,"272,043","379 Timber Valley Trl,",Fenton,MO,63026,"1,300",3,2,https://www.realtor.com//realestateandhomes-detail/379-Timber-Valley-Trl_Fenton_MO_63026_M98741-32186
218,House for Sale,"220,000","35 Sennawood Dr,",Fenton,MO,63026,"1,144",3,2.5,https://www.realtor.com//realestateandhomes-detail/35-Sennawood-Dr_Fenton_MO_63026_M78440-85526
219,House for Sale,"264,900","Hickory,",Fenton,MO,63026,2,4,2,https://www.realtor.com//realestateandhomes-detail/Hickory_Estates-at-Winding-Bluffs_200-13th-St_Fenton_MO_63026_P413343123306
220,House for Sale,"123,000","1882 Waybridge Ln,",Fenton,MO,63026,"1,440",3,2,https://www.realtor.com//realestateandhomes-detail/1882-Waybridge-Ln_Fenton_MO_63026_M82827-21230
221,Mfd/Mobile Home,"64,900","2891 Saline Rd,",Fenton,MO,63026,"1,200",3,2,https://www.realtor.com//realestateandhomes-detail/2891-Saline-Rd_Fenton_MO_63026_M87735-88224
222,House for Sale,"368,000","1415 Romaine Creek Rd,",Fenton,MO,63026,"2,340",6,3,https://www.realtor.com//realestateandhomes-detail/1415-Romaine-Creek-Rd_Fenton_MO_63026_M71247-95513
223,House for Sale,"259,900","940 Shadow Pine Dr,",Fenton,MO,63026,"2,420",4,2.5,https://www.realtor.com//realestateandhomes-detail/940-Shadow-Pine-Dr_Fenton_MO_63026_M71639-18029
224,House for Sale,"79,900","100 Major Dr,",Fenton,MO,63026,"1,124",3,1,https://www.realtor.com//realestateandhomes-detail/100-Major-Dr_Fenton_MO_63026_M70125-89963
225,House for Sale,"375,000","108 Zapata Ct,",Fenton,MO,63026,"2,569",4,2.5,https://www.realtor.com//realestateandhomes-detail/108-Zapata-Ct_Fenton_MO_63026_M82513-64125
