,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
443,House for Sale,"$254,900","8786 Fern Glen Dr,",Saint Louis,MO,63126,"1,377",3,2,https://www.realtor.com//realestateandhomes-detail/8786-Fern-Glen-Dr_Saint-Louis_MO_63126_M83930-35604
444,House for Sale,"$229,000","511 Larsen Ln,",Saint Louis,MO,63126,"1,292",3,1.5,https://www.realtor.com//realestateandhomes-detail/511-Larsen-Ln_Saint-Louis_MO_63126_M71436-93994
445,House for Sale,"$289,900","912 Diversey Dr,",Saint Louis,MO,63126,"1,844",3,1.5,https://www.realtor.com//realestateandhomes-detail/912-Diversey-Dr_Saint-Louis_MO_63126_M72505-58380
446,Condo/Townhome,"$109,900","9209 Bent Pine Ct Apt E,",Saint Louis,MO,63126,868,2,2,https://www.realtor.com//realestateandhomes-detail/9209-Bent-Pine-Ct-Apt-E_Saint-Louis_MO_63126_M77073-48160
447,House for Sale,"$439,000","10522 Mimosa Ln,",Saint Louis,MO,63126,"1,918",3,2.5,https://www.realtor.com//realestateandhomes-detail/10522-Mimosa-Ln_Saint-Louis_MO_63126_M79047-65669
448,House for Sale,"$219,999","615 Clover Ln,",Crestwood,MO,63126,"1,130",2,1.5,https://www.realtor.com//realestateandhomes-detail/615-Clover-Ln_Saint-Louis_MO_63126_M72535-25654
449,House for Sale,"$285,000","8807 Fox Park Dr,",Saint Louis,MO,63126,"1,401",3,2,https://www.realtor.com//realestateandhomes-detail/8807-Fox-Park-Dr_Saint-Louis_MO_63126_M77905-94194
450,Condo/Townhome,"$119,900","9209 Bent Pine Ct Apt F,",Saint Louis,MO,63126,964,2,2,https://www.realtor.com//realestateandhomes-detail/9209-Bent-Pine-Ct-Apt-F_Saint-Louis_MO_63126_M73668-09045
451,House for Sale,"$279,900","10142 Maebern Ter,",Saint Louis,MO,63126,"1,350",3,2.5,https://www.realtor.com//realestateandhomes-detail/10142-Maebern-Ter_Saint-Louis_MO_63126_M80190-45977
452,House for Sale,"$399,900","9517 Donalds Ct,",Saint Louis,MO,63126,"2,016",3,2,https://www.realtor.com//realestateandhomes-detail/9517-Donalds-Ct_Saint-Louis_MO_63126_M73594-89879
453,Condo/Townhome,"$139,900","11079 Gravois Rd Apt 201,",Saint Louis,MO,63126,"1,056",2,2,https://www.realtor.com//realestateandhomes-detail/11079-Gravois-Rd-Apt-201_Saint-Louis_MO_63126_M79082-05325
454,House for Sale,"$159,000","858 Hawkins Ct,",Saint Louis,MO,63126,"1,345",2,2,https://www.realtor.com//realestateandhomes-detail/858-Hawkins-Ct_Saint-Louis_MO_63126_M72464-07859
455,House for Sale,"$355,000","11063 Teakwood Dr,",Saint Louis,MO,63126,"1,454",4,3,https://www.realtor.com//realestateandhomes-detail/11063-Teakwood-Dr_Saint-Louis_MO_63126_M73628-66558
456,House for Sale,"$220,000","569 High Ave,",Saint Louis,MO,63126,924,3,2.5,https://www.realtor.com//realestateandhomes-detail/569-High-Ave_Saint-Louis_MO_63126_M81660-97386
457,House for Sale,"$200,000","10211 Littie Rd,",Saint Louis,MO,63126,"1,144",3,2,https://www.realtor.com//realestateandhomes-detail/10211-Littie-Rd_Saint-Louis_MO_63126_M80426-74847
458,House for Sale,"$299,900","11740 Eddie and Park Rd,",Sunset Hills,MO,63126,"1,696",3,2,https://www.realtor.com//realestateandhomes-detail/11740-Eddie-and-Park-Rd_Saint-Louis_MO_63126_M72602-47525
459,House for Sale,"$295,000","9116 Queenston Dr,",Saint Louis,MO,63126,"1,552",4,3,https://www.realtor.com//realestateandhomes-detail/9116-Queenston-Dr_Saint-Louis_MO_63126_M87220-98247
460,House for Sale,"$219,900","868 Liggett Ave,",Saint Louis,MO,63126,"1,149",2,1,https://www.realtor.com//realestateandhomes-detail/868-Liggett-Ave_Saint-Louis_MO_63126_M72074-64949
461,House for Sale,"$285,000","8953 Crest Oak Ln,",Crestwood,MO,63126,"1,290",3,2,https://www.realtor.com//realestateandhomes-detail/8953-Crest-Oak-Ln_Saint-Louis_MO_63126_M75833-95553
462,House for Sale,"$389,900","9248 Mountain Ash Trl,",Crestwood,MO,63126,"1,865",3,3,https://www.realtor.com//realestateandhomes-detail/9248-Mountain-Ash-Trl_Saint-Louis_MO_63126_M75664-64923
463,House for Sale,"$375,000","10344 Maple Ln,",Saint Louis,MO,63126,"2,587",4,3,https://www.realtor.com//realestateandhomes-detail/10344-Maple-Ln_Saint-Louis_MO_63126_M78994-24564
464,House for Sale,"$299,900","1353 Raycrest Ln,",Crestwood,MO,63126,"1,887",4,2.5,https://www.realtor.com//realestateandhomes-detail/1353-Raycrest-Ln_Saint-Louis_MO_63126_M72250-45547
465,House for Sale,"$239,900","9423 Crestwood Manor Dr,",Saint Louis,MO,63126,"1,895",3,2,https://www.realtor.com//realestateandhomes-detail/9423-Crestwood-Manor-Dr_Saint-Louis_MO_63126_M70624-92209
466,House for Sale,"$205,000","9507 Caravan Dr,",Saint Louis,MO,63126,"1,022",3,1.5,https://www.realtor.com//realestateandhomes-detail/9507-Caravan-Dr_Saint-Louis_MO_63126_M70578-71232
467,House for Sale,"$279,900","9546 Craigwood Ter,",Saint Louis,MO,63126,"1,650",3,2.5,https://www.realtor.com//realestateandhomes-detail/9546-Craigwood-Ter_Saint-Louis_MO_63126_M86112-69334
